sepal_length,sepal_width,petal_length,petal_width,variety
4.6,3.6,1.0,0.2,0
5.7,4.4,1.5,0.4,0
6.7,3.1,4.4,1.4,1
4.8,3.4,1.6,0.2,0
4.4,3.2,1.3,0.2,0
6.3,2.5,5.0,1.9,2
6.4,3.2,4.5,1.5,1
5.0109186,4.1496143,1.3218681,0.5687578,0
4.921681,3.5796187,1.0726062,0.4230361,0
5.2,4.1,1.5,0.1,0
5.858343,2.8093443,5.5357146,2.0117977,2
6.0,3.4,4.5,1.6,1
6.7,3.1,4.7,1.5,1
5.8175554,4.0784354,2.0316515,-0.19438152,0
5.4,3.7,1.5,0.2,0
5.5,2.4,3.7,1.0,1
6.3,2.8,5.1,1.5,2
6.4,3.1,5.5,1.8,2
7.020154,2.13634,4.617212,1.5188679,1
7.5175753,3.4888887,5.364597,1.9922105,2
5.7,2.9,4.2,1.3,1
7.6,3.0,6.6,2.1,2
5.6,3.0,4.5,1.5,1
5.1,3.5,1.4,0.2,0
7.7,2.8,6.7,2.0,2
5.8,2.7,4.1,1.0,1
5.062429,4.1474705,0.96708447,0.6841392,0
5.0,3.5,1.3,0.3,0
5.1,3.8,1.9,0.4,0
5.0,2.0,3.5,1.0,1
6.3,2.7,4.9,1.8,2
4.8,3.4,1.9,0.2,0
5.0,3.0,1.6,0.2,0
5.1,3.3,1.7,0.5,0
5.6,2.7,4.2,1.3,1
5.1,3.4,1.5,0.2,0
5.7,3.0,4.2,1.2,1
7.7,3.8,6.7,2.2,2
4.140274,3.4485803,1.4712129,0.54524267,0
5.3626585,2.656846,4.273109,2.183965,1
5.7,2.5,5.0,2.0,2
5.5,4.2,1.4,0.2,0
6.0,3.0,4.8,1.8,2
5.8,2.7,5.1,1.9,2
6.207205,1.705231,2.933977,1.1338557,1
5.4,3.0,4.5,1.5,1
6.1430264,2.9799218,4.9877596,2.6252964,2
5.5,2.3,4.0,1.3,1
5.4,3.9,1.7,0.4,0
5.0,2.3,3.3,1.0,1
6.93299,2.7785244,5.2206826,1.3821732,2
4.6801243,2.8367121,1.205095,-0.48834306,0
5.419245,2.7485363,1.6657865,0.3924755,0
5.5,2.4,3.8,1.1,1
6.7,3.0,5.0,1.7,1
4.9,3.1,1.5,0.1,0
5.588351,2.760141,4.256333,1.6764438,2
5.0,3.4,1.5,0.2,0
5.0,3.5,1.6,0.6,0
5.9,3.2,4.8,1.8,1
5.1,2.5,3.0,1.1,1
6.6725082,2.587197,5.0610313,2.386294,2
6.0,2.7,5.1,1.6,1
6.1,2.6,5.6,1.4,2
7.402925,2.276971,6.1360645,2.0352538,2
5.855613,2.8966737,3.8256376,1.068824,1
3.9935296,2.6923213,1.0939516,0.12960456,0
4.3,3.0,1.1,0.1,0
6.0,2.2,5.0,1.5,2
7.2,3.2,6.0,1.8,2
4.8283877,2.769037,1.3184731,0.009131053,0
4.8863735,3.57927,1.7127951,0.14532673,0
4.4,3.0,1.3,0.2,0
6.3,2.5,4.9,1.5,1
6.728988,3.3043478,4.962157,1.8333564,2
4.6,3.4,1.4,0.3,0
6.8,3.0,5.5,2.1,2
5.8174415,2.937387,7.0642347,2.0893066,2
4.1020803,3.4434862,1.0652988,0.20624706,0
6.1,2.9,4.7,1.4,1
6.5,2.8,4.6,1.5,1
6.2,2.8,4.8,1.8,2
7.0,3.2,4.7,1.4,1
6.4,3.2,5.3,2.3,2
5.1,3.8,1.6,0.2,0
6.2386503,2.6013765,5.599887,1.6472604,2
5.4331913,2.8972812,3.724989,1.3304834,1
6.5,3.0,5.2,2.0,2
5.816338,2.6109262,4.3008895,0.88032216,1
5.2,2.7,3.9,1.4,1
6.471627,3.2715771,4.2672453,1.5160806,1
4.5,2.3,1.3,0.3,0
5.8714223,2.7401643,4.364814,0.9805611,1
5.656757,3.0190632,5.3983655,2.6569312,1
5.3,3.7,1.5,0.2,0
5.6,3.0,4.1,1.3,1
7.3,2.9,6.3,1.8,2
6.7,3.3,5.7,2.1,2
4.258565,3.5325575,1.5813766,0.6931112,0
4.9,2.4,3.3,1.0,1
6.765137,3.7913697,5.450352,1.9075282,2
7.2,3.0,5.8,1.6,2
4.9,3.1,1.5,0.1,0
6.7,3.1,5.6,2.4,2
4.9,3.0,1.4,0.2,0
7.140373,3.3232656,5.2326927,1.4507573,1
7.4,2.8,6.1,1.9,2
6.3,2.9,5.6,1.8,2
5.7,2.8,4.1,1.3,1
6.5,3.0,5.5,1.8,2
6.3,2.3,4.4,1.3,1
6.4,2.9,4.3,1.3,1
5.6,2.8,4.9,2.0,2
6.2394567,3.0337896,5.24456,2.1156442,2
6.1895456,3.4799957,1.6406808,0.34291306,0
6.1,2.8,4.0,1.3,1
4.9,2.5,4.5,1.7,2
5.8,4.0,1.2,0.2,0
5.8,2.6,4.0,1.2,1
6.588251,3.0896378,6.0099983,2.7795937,2
